Mater.,prototype,category,dAB,xA,IEA,XA,rcovA,IEB,rcovB
LaBi,NaCl,metal,3.305,0.5,5.577,1.1,2.07,7.286,1.48
HfC,NaCl,metal,2.32,0.5,6.824,1.3,1.75,11.26,0.76
ZrC,NaCl,metal,2.349,0.5,6.634,1.33,1.75,11.26,0.76
LaSb,NaCl,metal,3.245,0.5,5.577,1.1,2.07,8.643,1.39
YSb,NaCl,metal,3.094,0.5,6.218,1.22,1.9,8.643,1.39
ThC,NaCl,metal,2.66,0.5,6.083,1.3,2.06,11.26,0.76
YSe,NaCl,metal,2.852,0.5,6.218,1.22,1.9,9.752,1.2
CeAs,NaCl,metal,3.04,0.5,5.538,1.12,2.04,9.814,1.19
ErAs,NaCl,metal,2.866,0.5,6.107,1.24,1.89,9.814,1.19
GdAs,NaCl,metal,2.931,0.5,6.15,1.2,1.96,9.814,1.19
TbAs,NaCl,metal,2.91,0.5,5.864,1.21,1.94,9.814,1.19
YbAs,NaCl,metal,2.847,0.5,6.253,1.25,1.87,9.814,1.19
CeBi,NaCl,metal,3.275,0.5,5.538,1.12,2.04,7.286,1.48
DyBi,NaCl,metal,3.125,0.5,5.938,1.22,1.92,7.286,1.48
ErBi,NaCl,metal,3.101,0.5,6.107,1.24,1.89,7.286,1.48
GdBi,NaCl,metal,3.155,0.5,6.15,1.2,1.96,7.286,1.48
PrBi,NaCl,metal,3.235,0.5,5.461,1.13,2.03,7.286,1.48
CrC,NaCl,metal,2.015,0.5,6.766,1.66,1.39,11.26,0.76
FeC,NaCl,metal,2.29,0.5,7.902,1.83,1.32,11.26,0.76
ScC,NaCl,metal,2.255,0.5,6.561,1.36,1.7,11.26,0.76
TaC,NaCl,metal,2.226,0.5,7.887,1.5,1.7,11.26,0.76
VC,NaCl,metal,2.083,0.5,6.746,1.63,1.53,11.26,0.76
CeN,NaCl,metal,2.512,0.5,5.538,1.12,2.04,14.53,0.71
CeP,NaCl,metal,2.966,0.5,5.538,1.12,2.04,10.48,1.07
CeS,NaCl,metal,2.884,0.5,5.538,1.12,2.04,10.36,1.05
CeSb,NaCl,metal,3.215,0.5,5.538,1.12,2.04,8.643,1.39
CeSe,NaCl,metal,2.991,0.5,5.538,1.12,2.04,9.752,1.2
CeTe,NaCl,metal,3.181,0.5,5.538,1.12,2.04,9.009,1.38
DyS,NaCl,metal,2.736,0.5,5.938,1.22,1.92,10.36,1.05
DySb,NaCl,metal,3.08,0.5,5.938,1.22,1.92,8.643,1.39
ErP,NaCl,metal,2.8,0.5,6.107,1.24,1.89,10.48,1.07
ErS,NaCl,metal,2.715,0.5,6.107,1.24,1.89,10.36,1.05
ErSb,NaCl,metal,3.05,0.5,6.107,1.24,1.89,8.643,1.39
ErSe,NaCl,metal,2.828,0.5,6.107,1.24,1.89,9.752,1.2
GdP,NaCl,metal,2.864,0.5,6.15,1.2,1.96,10.48,1.07
GdSb,NaCl,metal,3.105,0.5,6.15,1.2,1.96,8.643,1.39
GdSe,NaCl,metal,2.888,0.5,6.15,1.2,1.96,9.752,1.2
GdTe,NaCl,metal,3.07,0.5,6.15,1.2,1.96,9.009,1.38
PdH,NaCl,metal,2.015,0.5,8.337,2.2,1.39,13.59,0.31
RhH,NaCl,metal,2.005,0.5,7.459,2.28,1.42,13.59,0.31
HfN,NaCl,metal,2.255,0.5,6.824,1.3,1.75,14.53,0.71
HoP,NaCl,metal,2.81,0.5,6.021,1.23,1.92,10.48,1.07
HoS,NaCl,metal,2.733,0.5,6.021,1.23,1.92,10.36,1.05
HoSb,NaCl,metal,3.065,0.5,6.021,1.23,1.92,8.643,1.39
LaSe,NaCl,metal,3.022,0.5,5.577,1.1,2.07,9.752,1.2
LaTe,NaCl,metal,3.218,0.5,5.577,1.1,2.07,9.009,1.38
LuS,NaCl,metal,2.685,0.5,5.425,1.27,1.87,10.36,1.05
TcN,NaCl,metal,1.99,0.5,7.275,1.9,1.47,14.53,0.71
